iter	Passed	Remaining
580	3240	2337
581	3245	2331
582	3250	2325
583	3256	2320
584	3261	2313
585	3266	2307
586	3272	2302
587	3276	2295
588	3280	2289
589	3286	2283
590	3290	2277
591	3294	2270
592	3300	2265
593	3305	2259
594	3309	2252
595	3314	2246
596	3320	2241
597	3325	2235
598	3330	2229
599	3335	2223
600	3339	2217
601	3344	2210
602	3348	2204
603	3353	2198
604	3357	2192
605	3363	2187
606	3368	2181
607	3373	2174
608	3378	2169
609	3383	2163
610	3387	2156
611	3392	2150
612	3397	2144
613	3402	2138
614	3406	2132
615	3411	2126
616	3416	2120
617	3420	2114
618	3425	2108
619	3430	2102
620	3434	2095
621	3438	2089
622	3443	2084
623	3448	2077
624	3452	2071
625	3458	2066
626	3462	2059
627	3467	2053
628	3471	2047
629	3476	2041
630	3481	2036
631	3486	2030
632	3491	2024
633	3496	2018
634	3500	2012
635	3505	2006
636	3510	2000
637	3515	1994
638	3519	1988
639	3524	1982
640	3529	1976
641	3533	1970
642	3538	1964
643	3542	1958
644	3547	1952
645	3551	1946
646	3556	1940
647	3560	1934
648	3566	1928
649	3571	1923
650	3576	1917
651	3581	1911
652	3587	1906
653	3591	1900
654	3596	1894
655	3601	1888
656	3606	1882
657	3610	1876
658	3615	1870
659	3620	1865
660	3624	1858
661	3628	1852
662	3633	1846
663	3637	1840
664	3642	1834
665	3647	1829
666	3652	1823
667	3656	1817
668	3660	1811
669	3665	1805
670	3670	1799
671	3674	1793
672	3680	1788
673	3684	1782
674	3688	1776
675	3694	1770
676	3699	1764
677	3703	1758
678	3707	1752
679	3712	1747
680	3717	1741
681	3721	1735
682	3726	1729
683	3731	1724
684	3736	1718
685	3741	1712
686	3747	1707
687	3752	1701
688	3757	1696
689	3763	1690
690	3767	1684
691	3773	1679
692	3778	1674
693	3783	1668
694	3787	1662
695	3792	1656
696	3797	1650
697	3801	1644
698	3806	1639
699	3811	1633
700	3815	1627
701	3820	1621
702	3824	1615
703	3829	1610
704	3834	1604
705	3838	1598
706	3842	1592
707	3847	1586
708	3852	1581
709	3856	1575
710	3860	1569
711	3865	1563
712	3869	1557
713	3873	1551
714	3878	1545
715	3883	1540
716	3887	1534
717	3891	1528
718	3897	1523
719	3901	1517
720	3905	1511
721	3909	1505
722	3914	1499
723	3918	1493
724	3922	1487
725	3927	1482
726	3931	1476
727	3935	1470
728	3940	1464
729	3945	1459
730	3949	1453
731	3954	1447
732	3959	1442
733	3963	1436
734	3968	1430
735	3974	1425
736	3979	1420
737	3984	1414
738	3990	1409
739	3995	1403
740	4000	1398
741	4004	1392
742	4010	1387
743	4014	1381
744	4018	1375
745	4023	1369
746	4027	1364
747	4032	1358
748	4036	1352
749	4041	1347
750	4045	1341
751	4050	1335
752	4055	1330
753	4059	1324
754	4063	1318
755	4068	1313
756	4073	1307
757	4077	1301
758	4081	1296
759	4086	1290
760	4090	1284
761	4095	1279
762	4099	1273
763	4103	1267
764	4107	1261
765	4112	1256
766	4116	1250
767	4121	1244
768	4125	1239
769	4129	1233
770	4134	1228
771	4139	1222
772	4143	1216
773	4147	1211
774	4152	1205
775	4156	1199
776	4160	1194
777	4165	1188
778	4170	1183
779	4175	1177
780	4179	1171
781	4185	1166
782	4189	1161
783	4193	1155
784	4198	1149
785	4203	1144
786	4208	1138
787	4212	1133
788	4217	1127
789	4221	1122
790	4226	1116
791	4231	1111
792	4235	1105
793	4240	1100
794	4244	1094
795	4249	1089
796	4253	1083
797	4258	1078
798	4263	1072
799	4267	1066
800	4272	1061
801	4276	1055
802	4281	1050
803	4286	1044
804	4290	1039
805	4295	1033
806	4299	1028
807	4303	1022
808	4307	1017
809	4312	1011
810	4316	1006
811	4321	1000
812	4325	994
813	4330	989
814	4334	983
815	4338	978
816	4343	972
817	4347	967
818	4351	961
819	4355	956
820	4360	950
821	4364	945
822	4369	939
823	4375	934
824	4380	929
825	4384	923
826	4390	918
827	4395	913
828	4400	907
829	4405	902
830	4410	896
831	4414	891
832	4419	885
833	4424	880
834	4428	875
835	4432	869
836	4437	864
837	4441	858
838	4446	853
839	4450	847
840	4455	842
841	4459	836
842	4463	831
843	4468	825
844	4473	820
845	4477	815
846	4482	809
847	4487	804
848	4492	798
849	4496	793
850	4500	788
851	4505	782
852	4510	777
853	4514	771
854	4520	766
855	4524	761
856	4528	755
857	4533	750
858	4537	744
859	4542	739
860	4546	733
861	4551	728
862	4555	723
863	4559	717
864	4563	712
865	4568	706
866	4573	701
867	4578	696
868	4583	690
869	4588	685
870	4592	680
871	4597	674
872	4602	669
873	4606	664
874	4611	658
875	4616	653
876	4620	648
877	4624	642
878	4629	637
879	4634	631
880	4638	626
881	4642	621
882	4648	615
883	4652	610
884	4656	605
885	4661	599
886	4665	594
887	4670	589
888	4674	583
889	4679	578
890	4683	573
891	4688	567
892	4692	562
893	4698	557
894	4702	551
895	4706	546
896	4711	541
897	4715	535
898	4720	530
899	4724	524
900	4729	519
901	4733	514
902	4737	508
903	4742	503
904	4747	498
905	4751	492
906	4756	487
907	4760	482
908	4765	477
909	4771	471
910	4776	466
911	4781	461
912	4786	456
913	4791	450
914	4796	445
915	4800	440
916	4806	435
917	4810	429
918	4815	424
919	4820	419
920	4824	413
921	4828	408
922	4833	403
923	4837	397
924	4842	392
925	4846	387
926	4851	382
927	4855	376
